product,handle,pack,currency,proposed_regular_price,proposed_recurring_price_15pct,recurring_status,max_landed_cogs_at_70pct_margin_after_15pct_discount,price_status
Creatine Monohydrate,creatine-monohydrate,281 g,USD,29.00,24.65,Not enabled,7.40,Proposal; Shopify draft only
Hydrolyzed Collagen Peptides,hydrolyzed-collagen-peptides,280 g,USD,32.00,27.20,Not enabled,8.16,Proposal; Shopify draft only
Grass-Fed Collagen Peptides,collagen-peptides-chocolate,378 g · Chocolate,USD,36.00,30.60,Not enabled,9.18,Proposal; Shopify draft only
Colostrum Powder,colostrum-powder,69 g,USD,49.00,41.65,Not enabled,12.50,Proposal; Shopify draft only
Colon Gentle Cleanse,colon-gentle-cleanse,30 sachets,USD,29.00,HOLD,Not enabled,7.40,Proposal; Shopify draft only
Keto-5,keto-5,60 capsules,USD,24.00,HOLD,Not enabled,6.12,Proposal; Shopify draft only
GLP-1 Support,glp-1-support,60 capsules,USD,44.00,37.40,Not enabled,11.22,Proposal; Shopify draft only
Liver Support,liver-support,60 capsules,USD,29.00,24.65,Not enabled,7.40,Proposal; Shopify draft only
NMN,nmn,30 capsules,USD,49.00,41.65,Not enabled,12.50,Proposal; Shopify draft only
Resveratrol,resveratrol,60 capsules,USD,24.00,20.40,Not enabled,6.12,Proposal; Shopify draft only
"Hair, Skin & Nails Gummies",hair-skin-nails-gummies,60 gummies · Passion fruit,USD,24.00,20.40,Not enabled,6.12,Proposal; Shopify draft only
Peptide Serum,peptide-serum,30 mL,USD,58.00,49.30,Not enabled,14.79,Proposal; Shopify draft only
Barrier Cream,barrier-cream,50 mL,USD,48.00,40.80,Not enabled,12.24,Proposal; Shopify draft only
Gentle Cleanser,gentle-cleanser,150 mL,USD,28.00,23.80,Not enabled,7.14,Proposal; Shopify draft only
